Material,Date,Cost (kg)
PLA,2021-01-07 10:00:00,$8.0
PETG,2021-01-07 10:15:00,$17.0
ABS,2021-01-07 10:30:00,$22.0
PLA,2021-01-07 10:45:00,$4.2
PLA,2021-01-07 11:00:00,$7.6
ABS,2021-01-07 11:15:00,$26.2
PLA,2021-01-07 11:30:00,$13.0
PLA,2021-01-07 11:45:00,$15.2
ABS,2021-01-07 12:00:00,$22.2
ABS,2021-01-07 12:15:00,$18.8
ABS,2021-01-07 12:30:00,$19.8
PLA,2021-01-07 12:45:00,$13.8
ABS,2021-01-07 13:00:00,$17.8
PLA,2021-01-07 13:15:00,$16.6
PLA,2021-01-07 13:30:00,$12.6
PLA,2021-01-07 13:45:00,$15.4
ABS,2021-01-07 14:00:00,$18.8
ABS,2021-01-07 14:15:00,$19.8
ABS,2021-01-07 14:30:00,$18.2
PLA,2021-01-07 14:45:00,$15.0
PLA,2021-01-07 15:00:00,$14.8
ABS,2021-01-07 15:15:00,$17.8
ABS,2021-01-07 15:30:00,$20.4
ABS,2021-01-07 15:45:00,$23.0
ABS,2021-01-07 16:00:00,$20.4
ABS,2021-01-07 16:15:00,$25.2
ABS,2021-01-07 16:30:00,$26.2
ABS,2021-01-07 16:45:00,$28.0
PLA,2021-01-07 17:00:00,$15.8
ABS,2021-01-07 17:15:00,$24.2
ABS,2021-01-07 17:30:00,$28.2
ABS,2021-01-07 17:45:00,$22.0
ABS,2021-01-07 18:00:00,$37.2
ABS,2021-01-07 18:15:00,$27.6
ABS,2021-01-07 18:30:00,$21.0
ABS,2021-01-07 18:45:00,$20.2
PLA,2021-01-07 19:00:00,$13.0
ABS,2021-01-07 19:15:00,$26.6
PLA,2021-01-07 19:30:00,$5.4
PLA,2021-01-07 19:45:00,$5.4
PLA,2021-01-08 10:00:00,$3.2
PLA,2021-01-08 10:15:00,$15.4
ABS,2021-01-08 10:30:00,$18.2
ABS,2021-01-08 10:45:00,$22.6
ABS,2021-01-08 11:00:00,$35.0
ABS,2021-01-08 11:15:00,$27.2
PLA,2021-01-08 11:30:00,$16.0
ABS,2021-01-08 11:45:00,$24.6
ABS,2021-01-08 12:00:00,$24.6
ABS,2021-01-08 12:15:00,$19.0
ABS,2021-01-08 12:30:00,$26.6
PLA,2021-01-08 12:45:00,$15.2
ABS,2021-01-08 13:00:00,$32.2
PLA,2021-01-08 13:15:00,$11.0
ABS,2021-01-08 13:30:00,$28.6
ABS,2021-01-08 13:45:00,$23.4
ABS,2021-01-08 14:00:00,$19.2
ABS,2021-01-08 14:15:00,$17.4
ABS,2021-01-08 14:30:00,$19.2
ABS,2021-01-08 14:45:00,$22.2
ABS,2021-01-08 15:00:00,$18.6
ABS,2021-01-08 15:15:00,$29.0
ABS,2021-01-08 15:30:00,$20.0
ABS,2021-01-08 15:45:00,$26.8
ABS,2021-01-08 16:00:00,$23.4
ABS,2021-01-08 16:15:00,$26.6
ABS,2021-01-08 16:30:00,$36.8
ABS,2021-01-08 16:45:00,$22.4
ABS,2021-01-08 17:00:00,$24.4
ABS,2021-01-08 17:15:00,$35.4
ABS,2021-01-08 17:30:00,$31.8
ABS,2021-01-08 17:45:00,$36.2
ABS,2021-01-08 18:00:00,$28.4
PLA,2021-01-08 18:15:00,$14.4
ABS,2021-01-08 18:30:00,$22.8
ABS,2021-01-08 18:45:00,$39.2
PLA,2021-01-08 19:00:00,$14.6
ABS,2021-01-08 19:15:00,$27.4
PLA,2021-01-08 19:30:00,$8.2
PLA,2021-01-08 19:45:00,$3.2
PLA,2021-01-09 09:45:00,$8.0
ABS,2021-01-09 10:00:00,$22.6
PLA,2021-01-09 10:15:00,$4.6
PLA,2021-01-09 10:30:00,$16.2
PLA,2021-01-09 10:45:00,$11.2
PLA,2021-01-09 11:00:00,$7.6
ABS,2021-01-09 11:15:00,$22.2
ABS,2021-01-09 11:30:00,$27.4
ABS,2021-01-09 11:45:00,$27.8
PLA,2021-01-09 12:00:00,$14.8
ABS,2021-01-09 12:15:00,$25.0
PLA,2021-01-09 12:30:00,$15.6
ABS,2021-01-09 12:45:00,$22.0
ABS,2021-01-09 13:00:00,$26.8
PLA,2021-01-09 13:15:00,$13.0
PLA,2021-01-09 13:30:00,$10.6
PLA,2021-01-09 13:45:00,$12.4
PLA,2021-01-09 14:00:00,$16.8
ABS,2021-01-09 14:15:00,$21.8
ABS,2021-01-09 14:30:00,$27.0
ABS,2021-01-09 14:45:00,$22.8
PLA,2021-01-09 15:00:00,$15.8
PLA,2021-01-09 15:15:00,$11.2
PLA,2021-01-09 15:30:00,$15.6
ABS,2021-01-09 15:45:00,$21.8
ABS,2021-01-09 16:00:00,$17.4
PLA,2021-01-09 16:15:00,$11.8
ABS,2021-01-09 16:30:00,$17.4
ABS,2021-01-09 16:45:00,$22.6
ABS,2021-01-09 17:00:00,$24.8
ABS,2021-01-09 17:15:00,$33.2
ABS,2021-01-09 17:30:00,$35.6
ABS,2021-01-09 17:45:00,$20.8
ABS,2021-01-09 18:00:00,$22.0
ABS,2021-01-09 18:15:00,$32.2
ABS,2021-01-09 18:30:00,$25.2
ABS,2021-01-09 18:45:00,$18.4
ABS,2021-01-09 19:00:00,$26.4
ABS,2021-01-09 19:15:00,$29.8
PLA,2021-01-09 19:30:00,$8.4
ABS,2021-01-10 10:00:00,$21.6
ABS,2021-01-10 10:15:00,$23.2
ABS,2021-01-10 10:30:00,$18.6
PLA,2021-01-10 10:45:00,$16.8
ABS,2021-01-10 11:00:00,$30.8
ABS,2021-01-10 11:15:00,$20.4
ABS,2021-01-10 11:30:00,$24.2
ABS,2021-01-10 11:45:00,$33.8
ABS,2021-01-10 12:00:00,$28.2
ABS,2021-01-10 12:15:00,$37.8
PLA,2021-01-10 12:30:00,$10.0
PLA,2021-01-10 12:45:00,$13.8
ABS,2021-01-10 13:00:00,$21.8
ABS,2021-01-10 13:15:00,$22.6
PLA,2021-01-10 13:30:00,$16.6
ABS,2021-01-10 13:45:00,$18.6
ABS,2021-01-10 14:00:00,$17.4
PLA,2021-01-10 14:15:00,$11.2
PLA,2021-01-10 14:30:00,$15.8
ABS,2021-01-10 14:45:00,$28.0
ABS,2021-01-10 15:00:00,$21.2
ABS,2021-01-10 15:15:00,$25.8
ABS,2021-01-10 15:30:00,$31.8
