Index,Date,Cost
0,2021-01-07 10:00:00,8.0
1,2021-01-07 10:15:00,17.0
2,2021-01-07 10:30:00,22.0
3,2021-01-07 10:45:00,4.2
4,2021-01-07 11:00:00,7.6
5,2021-01-07 11:15:00,26.2
6,2021-01-07 11:30:00,13.0
7,2021-01-07 11:45:00,15.2
8,2021-01-07 12:00:00,22.2
9,2021-01-07 12:15:00,18.8
10,2021-01-07 12:30:00,19.8
11,2021-01-07 12:45:00,13.8
12,2021-01-07 13:00:00,17.8
13,2021-01-07 13:15:00,16.6
14,2021-01-07 13:30:00,12.6
15,2021-01-07 13:45:00,15.4
16,2021-01-07 14:00:00,18.8
17,2021-01-07 14:15:00,19.8
18,2021-01-07 14:30:00,18.2
19,2021-01-07 14:45:00,15.0
20,2021-01-07 15:00:00,14.8
21,2021-01-07 15:15:00,17.8
22,2021-01-07 15:30:00,20.4
23,2021-01-07 15:45:00,23.0
24,2021-01-07 16:00:00,20.4
25,2021-01-07 16:15:00,25.2
26,2021-01-07 16:30:00,26.2
27,2021-01-07 16:45:00,28.0
28,2021-01-07 17:00:00,15.8
29,2021-01-07 17:15:00,24.2
30,2021-01-07 17:30:00,28.2
31,2021-01-07 17:45:00,22.0
32,2021-01-07 18:00:00,37.2
33,2021-01-07 18:15:00,27.6
34,2021-01-07 18:30:00,21.0
35,2021-01-07 18:45:00,20.2
36,2021-01-07 19:00:00,13.0
37,2021-01-07 19:15:00,26.6
38,2021-01-07 19:30:00,5.4
39,2021-01-07 19:45:00,5.4
40,2021-01-08 10:00:00,3.2
41,2021-01-08 10:15:00,15.4
42,2021-01-08 10:30:00,18.2
43,2021-01-08 10:45:00,22.6
44,2021-01-08 11:00:00,35.0
45,2021-01-08 11:15:00,27.2
46,2021-01-08 11:30:00,16.0
47,2021-01-08 11:45:00,24.6
48,2021-01-08 12:00:00,24.6
49,2021-01-08 12:15:00,19.0
50,2021-01-08 12:30:00,26.6
51,2021-01-08 12:45:00,15.2
52,2021-01-08 13:00:00,32.2
53,2021-01-08 13:15:00,11.0
54,2021-01-08 13:30:00,28.6
55,2021-01-08 13:45:00,23.4
56,2021-01-08 14:00:00,19.2
57,2021-01-08 14:15:00,17.4
58,2021-01-08 14:30:00,19.2
59,2021-01-08 14:45:00,22.2
60,2021-01-08 15:00:00,18.6
61,2021-01-08 15:15:00,29.0
62,2021-01-08 15:30:00,20.0
63,2021-01-08 15:45:00,26.8
64,2021-01-08 16:00:00,23.4
65,2021-01-08 16:15:00,26.6
66,2021-01-08 16:30:00,36.8
67,2021-01-08 16:45:00,22.4
68,2021-01-08 17:00:00,24.4
69,2021-01-08 17:15:00,35.4
70,2021-01-08 17:30:00,31.8
71,2021-01-08 17:45:00,36.2
72,2021-01-08 18:00:00,28.4
73,2021-01-08 18:15:00,14.4
74,2021-01-08 18:30:00,22.8
75,2021-01-08 18:45:00,39.2
76,2021-01-08 19:00:00,14.6
77,2021-01-08 19:15:00,27.4
78,2021-01-08 19:30:00,8.2
79,2021-01-08 19:45:00,3.2
80,2021-01-09 09:45:00,8.0
81,2021-01-09 10:00:00,22.6
82,2021-01-09 10:15:00,4.6
83,2021-01-09 10:30:00,16.2
84,2021-01-09 10:45:00,11.2
85,2021-01-09 11:00:00,7.6
86,2021-01-09 11:15:00,22.2
87,2021-01-09 11:30:00,27.4
88,2021-01-09 11:45:00,27.8
89,2021-01-09 12:00:00,14.8
90,2021-01-09 12:15:00,25.0
91,2021-01-09 12:30:00,15.6
92,2021-01-09 12:45:00,22.0
93,2021-01-09 13:00:00,26.8
94,2021-01-09 13:15:00,13.0
95,2021-01-09 13:30:00,10.6
96,2021-01-09 13:45:00,12.4
97,2021-01-09 14:00:00,16.8
98,2021-01-09 14:15:00,21.8
99,2021-01-09 14:30:00,27.0
100,2021-01-09 14:45:00,22.8
101,2021-01-09 15:00:00,15.8
102,2021-01-09 15:15:00,11.2
103,2021-01-09 15:30:00,15.6
104,2021-01-09 15:45:00,21.8
105,2021-01-09 16:00:00,17.4
106,2021-01-09 16:15:00,11.8
107,2021-01-09 16:30:00,17.4
108,2021-01-09 16:45:00,22.6
109,2021-01-09 17:00:00,24.8
110,2021-01-09 17:15:00,33.2
111,2021-01-09 17:30:00,35.6
112,2021-01-09 17:45:00,20.8
113,2021-01-09 18:00:00,22.0
114,2021-01-09 18:15:00,32.2
115,2021-01-09 18:30:00,25.2
116,2021-01-09 18:45:00,18.4
117,2021-01-09 19:00:00,26.4
118,2021-01-09 19:15:00,29.8
119,2021-01-09 19:30:00,8.4
120,2021-01-10 10:00:00,21.6
121,2021-01-10 10:15:00,23.2
122,2021-01-10 10:30:00,18.6
123,2021-01-10 10:45:00,16.8
124,2021-01-10 11:00:00,30.8
125,2021-01-10 11:15:00,20.4
126,2021-01-10 11:30:00,24.2
127,2021-01-10 11:45:00,33.8
128,2021-01-10 12:00:00,28.2
129,2021-01-10 12:15:00,37.8
130,2021-01-10 12:30:00,10.0
131,2021-01-10 12:45:00,13.8
132,2021-01-10 13:00:00,21.8
133,2021-01-10 13:15:00,22.6
134,2021-01-10 13:30:00,16.6
135,2021-01-10 13:45:00,18.6
136,2021-01-10 14:00:00,17.4
137,2021-01-10 14:15:00,11.2
138,2021-01-10 14:30:00,15.8
139,2021-01-10 14:45:00,28.0
140,2021-01-10 15:00:00,21.2
141,2021-01-10 15:15:00,25.8
142,2021-01-10 15:30:00,31.8
143,2021-01-10 15:45:00,29.0
144,2021-01-10 16:00:00,27.2
145,2021-01-10 16:15:00,18.0
146,2021-01-10 16:30:00,37.0
147,2021-01-10 16:45:00,40.2
148,2021-01-10 17:00:00,26.8
149,2021-01-10 17:15:00,29.4
150,2021-01-10 17:30:00,28.4
151,2021-01-10 17:45:00,31.8
152,2021-01-10 18:00:00,33.8
153,2021-01-10 18:15:00,33.0
154,2021-01-10 18:30:00,35.0
155,2021-01-10 18:45:00,30.6
156,2021-01-10 19:00:00,23.4
157,2021-01-10 19:15:00,22.4
158,2021-01-10 19:30:00,13.6
159,2021-01-10 19:45:00,25.0
160,2021-01-10 20:00:00,2.8
161,2021-01-11 09:45:00,3.4
162,2021-01-11 10:00:00,23.6
163,2021-01-11 10:15:00,17.0
164,2021-01-11 10:30:00,26.4
165,2021-01-11 10:45:00,26.8
166,2021-01-11 11:00:00,23.8
167,2021-01-11 11:15:00,21.6
168,2021-01-11 11:30:00,29.2
169,2021-01-11 11:45:00,27.2
170,2021-01-11 12:00:00,24.6
171,2021-01-11 12:15:00,25.0
172,2021-01-11 12:30:00,26.2
173,2021-01-11 12:45:00,22.8
174,2021-01-11 13:00:00,24.0
175,2021-01-11 13:15:00,31.6
176,2021-01-11 13:30:00,17.6
177,2021-01-11 13:45:00,29.8
178,2021-01-11 14:00:00,25.2
179,2021-01-11 14:15:00,18.2
180,2021-01-11 14:30:00,22.0
181,2021-01-11 14:45:00,27.6
182,2021-01-11 15:00:00,31.2
183,2021-01-11 15:15:00,20.6
184,2021-01-11 15:30:00,19.2
185,2021-01-11 15:45:00,39.8
186,2021-01-11 16:00:00,25.2
187,2021-01-11 16:15:00,36.0
188,2021-01-11 16:30:00,17.6
189,2021-01-11 16:45:00,36.0
190,2021-01-11 17:00:00,23.8
191,2021-01-11 17:15:00,23.6
192,2021-01-11 17:30:00,35.4
193,2021-01-11 17:45:00,23.4
194,2021-01-11 18:00:00,32.0
195,2021-01-11 18:15:00,38.2
196,2021-01-11 18:30:00,27.4
197,2021-01-11 18:45:00,34.4
198,2021-01-11 19:00:00,26.2
199,2021-01-11 19:15:00,21.0
200,2021-01-11 19:30:00,27.2
201,2021-01-11 19:45:00,7.8
202,2021-01-13 09:30:00,0.6
203,2021-01-13 09:45:00,13.4
204,2021-01-13 10:00:00,7.0
205,2021-01-13 10:15:00,17.4
206,2021-01-13 10:30:00,18.0
207,2021-01-13 10:45:00,17.4
208,2021-01-13 11:00:00,17.2
209,2021-01-13 11:15:00,21.8
210,2021-01-13 11:30:00,23.6
211,2021-01-13 11:45:00,16.8
212,2021-01-13 12:00:00,29.2
213,2021-01-13 12:15:00,16.2
214,2021-01-13 12:30:00,17.4
215,2021-01-13 12:45:00,23.0
216,2021-01-13 13:00:00,24.6
217,2021-01-13 13:15:00,27.6
218,2021-01-13 13:30:00,22.2
219,2021-01-13 13:45:00,17.6
220,2021-01-13 14:00:00,11.0
221,2021-01-13 14:15:00,16.0
222,2021-01-13 14:30:00,18.6
223,2021-01-13 14:45:00,14.8
224,2021-01-13 15:00:00,12.6
225,2021-01-13 15:15:00,19.0
226,2021-01-13 15:30:00,26.2
227,2021-01-13 15:45:00,23.6
228,2021-01-13 16:00:00,26.8
229,2021-01-13 16:15:00,27.2
230,2021-01-13 16:30:00,28.2
231,2021-01-13 16:45:00,28.0
232,2021-01-13 17:00:00,26.4
233,2021-01-13 17:15:00,25.6
234,2021-01-13 17:30:00,20.4
235,2021-01-13 17:45:00,26.8
236,2021-01-13 18:00:00,35.2
237,2021-01-13 18:15:00,27.2
238,2021-01-13 18:30:00,20.2
239,2021-01-13 18:45:00,27.4
240,2021-01-13 19:00:00,32.2
241,2021-01-13 19:15:00,16.0
242,2021-01-13 19:30:00,12.2
243,2021-01-14 09:45:00,5.4
244,2021-01-14 10:00:00,12.4
245,2021-01-14 10:15:00,11.4
246,2021-01-14 10:30:00,12.8
247,2021-01-14 10:45:00,20.6
248,2021-01-14 11:00:00,19.2
249,2021-01-14 11:15:00,20.6
250,2021-01-14 11:30:00,18.2
251,2021-01-14 11:45:00,7.8
252,2021-01-14 12:00:00,28.0
253,2021-01-14 12:15:00,23.0
254,2021-01-14 12:30:00,18.2
255,2021-01-14 12:45:00,30.6
256,2021-01-14 13:00:00,13.0
257,2021-01-14 13:15:00,14.8
258,2021-01-14 13:30:00,23.0
259,2021-01-14 13:45:00,17.6
260,2021-01-14 14:00:00,17.0
261,2021-01-14 14:15:00,15.4
262,2021-01-14 14:30:00,21.6
263,2021-01-14 14:45:00,17.2
264,2021-01-14 15:00:00,14.6
265,2021-01-14 15:15:00,15.2
266,2021-01-14 15:30:00,19.4
267,2021-01-14 15:45:00,23.4
268,2021-01-14 16:00:00,14.8
269,2021-01-14 16:15:00,16.2
270,2021-01-14 16:30:00,19.8
271,2021-01-14 16:45:00,26.6
272,2021-01-14 17:00:00,16.4
273,2021-01-14 17:15:00,29.8
274,2021-01-14 17:30:00,23.0
275,2021-01-14 17:45:00,23.2
276,2021-01-14 18:00:00,28.6
277,2021-01-14 18:15:00,17.4
278,2021-01-14 18:30:00,14.8
279,2021-01-14 18:45:00,23.0
280,2021-01-14 19:00:00,9.0
281,2021-01-14 19:15:00,17.0
282,2021-01-14 19:30:00,11.8
283,2021-01-15 09:45:00,5.4
284,2021-01-15 10:00:00,12.2
285,2021-01-15 10:15:00,15.2
286,2021-01-15 10:30:00,16.6
287,2021-01-15 10:45:00,25.8
288,2021-01-15 11:00:00,25.4
289,2021-01-15 11:15:00,17.0
290,2021-01-15 11:30:00,28.0
291,2021-01-15 11:45:00,29.8
292,2021-01-15 12:00:00,15.0
293,2021-01-15 12:15:00,18.2
294,2021-01-15 12:30:00,28.8
295,2021-01-15 12:45:00,22.8
296,2021-01-15 13:00:00,12.0
297,2021-01-15 13:15:00,14.0
298,2021-01-15 13:30:00,24.0
299,2021-01-15 13:45:00,17.2
300,2021-01-15 14:00:00,23.2
301,2021-01-15 14:15:00,28.4
302,2021-01-15 14:30:00,17.0
303,2021-01-15 14:45:00,15.4
304,2021-01-15 15:00:00,17.0
305,2021-01-15 15:15:00,20.2
306,2021-01-15 15:30:00,13.2
307,2021-01-15 15:45:00,14.2
308,2021-01-15 16:00:00,17.8
309,2021-01-15 16:15:00,14.0
310,2021-01-15 16:30:00,20.8
311,2021-01-15 16:45:00,21.0
312,2021-01-15 17:00:00,25.4
